user,location,tweet,Tweet_punct
JeanBry15180410,,RT @4HumanUnity: @realDonaldTrump Many people think due to Trump’s insanity our Nation Capitol was attacked. That’s partially true. He is i…,RT HumanUnity realDonaldTrump Many people think due to Trump’s insanity our Nation Capitol was attacked That’s partially true He is i…
IsaNahilaS,"Bordeaux, France","RT @TalbertSwan: @realDonaldTrump If these were Black lives matter protesters, you’d be threatening to have them shot, to sic vicious dogs…",RT TalbertSwan realDonaldTrump If these were Black lives matter protesters you’d be threatening to have them shot to sic vicious dogs…
NayaHernandez6,"San Antonio, TX","@realDonaldTrump finally beat President @BarackObama at something.... Not 1, but 2 Impeachments!!! Great job Trump!",realDonaldTrump finally beat President BarackObama at something Not  but  Impeachments Great job Trump
JeanBry15180410,,RT @unleashthetea: @realDonaldTrump Raise your hand if you agree Trump should be immediately arrested for inciting this domestic terrorism…,RT unleashthetea realDonaldTrump Raise your hand if you agree Trump should be immediately arrested for inciting this domestic terrorism…
JeanBry15180410,,RT @David_Leavitt: @realDonaldTrump Resign and go fuck yourself,RT DavidLeavitt realDonaldTrump Resign and go fuck yourself
JeanBry15180410,,RT @LabyrinthWeaver: @realDonaldTrump Americans are not safe as long as Trump roams free. He must be arrested NOW,RT LabyrinthWeaver realDonaldTrump Americans are not safe as long as Trump roams free He must be arrested NOW
JohnOgr53549685,,"RT @Santiago74281: @realDonaldTrump Yes, we know, you never admit failure. But you can't run from the fact: YOU ARE INCOMPETENT. #UnfitForO…",RT Santiago realDonaldTrump Yes we know you never admit failure But you cant run from the fact YOU ARE INCOMPETENT UnfitForO…
SlaterDorie,,"RT @mpiatt3: @realDonaldTrump Trump 2020 is not a campaign, it is a money laundering operation. Donors are accessories.",RT mpiatt realDonaldTrump Trump  is not a campaign it is a money laundering operation Donors are accessories
SlaterDorie,,RT @Lissthesassy: @realDonaldTrump 31 days @TishJames @CyrusVanceforDA . Enjoy Don. https://t.co/qhZN9bJdqU,RT Lissthesassy realDonaldTrump  days TishJames CyrusVanceforDA  Enjoy Don httpstcoqhZNbJdqU
terry4al79,home is where the heart is ,@realDonaldTrump I’m just so disappointed in you...,realDonaldTrump I’m just so disappointed in you
SlaterDorie,,RT @Ramila67: @realDonaldTrump Thank you for looked the other way as Russia meddled in elections and put bounties on soldiers' heads and ha…,RT Ramila realDonaldTrump Thank you for looked the other way as Russia meddled in elections and put bounties on soldiers heads and ha…
mustikhan,North America,RT @GeraldoRivera: @realDonaldTrump incited this &amp; bears responsibility for the seizure &amp; defacing of the Capitol. That’s what makes today’…,RT GeraldoRivera realDonaldTrump incited this amp bears responsibility for the seizure amp defacing of the Capitol That’s what makes today’…
colaballa,,RT @BionicleArmy: @realDonaldTrump We're coming. Watch out. https://t.co/ioStlM3dGZ,RT BionicleArmy realDonaldTrump Were coming Watch out httpstcoioStlMdGZ
